date,open,high,low,close,volume
2018-10-16 05:03:00,5.5541,5.5543,5.5539,5.5543,6822.32870689
2018-10-16 05:02:00,5.5541,5.5541,5.5541,5.5541,326.24961657
2018-10-16 05:01:00,5.5514,5.5514,5.5514,5.5514,119.64887524
2018-10-16 05:00:00,5.5504,5.5527,5.5503,5.5514,123.2179581
2018-10-16 04:59:00,5.5505,5.5505,5.5504,5.5504,133.28688347
2018-10-16 04:58:00,5.5523,5.5524,5.5505,5.5505,143.45454347
2018-10-16 04:56:00,5.5519,5.5539,5.5504,5.5527,1250.501
2018-10-16 04:55:00,5.552,5.552,5.552,5.552,10.0
2018-10-16 04:54:00,5.5503,5.5504,5.5503,5.5504,1882.07403823
2018-10-16 04:53:00,5.5541,5.5541,5.5504,5.5506,1664.06322986
2018-10-16 04:52:00,5.5542,5.5544,5.5472,5.5523,13748.90782894
2018-10-16 04:51:00,5.5729,5.577,5.5507,5.5507,10679.51051496
2018-10-16 04:50:00,5.5789,5.5789,5.5591,5.5719,37053.15059948
2018-10-16 04:49:00,5.5795,5.5943,5.5686,5.5801,27540.4103
2018-10-16 04:48:00,5.5648,5.606,5.5642,5.5825,35328.05048987
2018-10-16 04:47:00,5.56,5.5736,5.5571,5.5736,9014.87149604
2018-10-16 04:46:00,5.561,5.561,5.5572,5.5572,2794.9068315
2018-10-16 04:45:00,5.5649,5.5649,5.5603,5.561,2531.94550521
2018-10-16 04:44:00,5.5611,5.5621,5.5602,5.5602,1137.16419401
2018-10-16 04:43:00,5.5613,5.5613,5.5599,5.56,2116.54678189
2018-10-16 04:42:00,5.5678,5.5725,5.5602,5.561,4826.45717227
2018-10-16 04:41:00,5.5662,5.5662,5.5659,5.5659,792.83149781
2018-10-16 04:40:00,5.5633,5.5636,5.5625,5.5636,2468.5277445
2018-10-16 04:39:00,5.5726,5.5745,5.5632,5.5632,8710.36935191
2018-10-16 04:38:00,5.5717,5.5717,5.5717,5.5717,296.0
2018-10-16 04:37:00,5.5672,5.5706,5.5647,5.5706,2208.04
2018-10-16 04:36:00,5.5715,5.572,5.5703,5.5703,1328.69351636
2018-10-16 04:35:00,5.5742,5.5742,5.571,5.572,1364.0
2018-10-16 04:34:00,5.5754,5.577,5.5754,5.5755,6739.12336925
2018-10-16 04:33:00,5.575,5.575,5.575,5.575,377.82787048
2018-10-16 04:32:00,5.5717,5.574,5.5717,5.574,1007.21679831
2018-10-16 04:31:00,5.5705,5.5714,5.5688,5.5714,615.21807529
2018-10-16 04:30:00,5.5779,5.5779,5.5691,5.5697,2077.76059953
2018-10-16 04:29:00,5.5839,5.5839,5.5839,5.5839,17.21
2018-10-16 04:28:00,5.572,5.5735,5.5719,5.5735,698.0001
2018-10-16 04:27:00,5.5782,5.5782,5.572,5.572,157.9999
2018-10-16 04:26:00,5.5794,5.5794,5.5794,5.5794,100.0
2018-10-16 04:25:00,5.5801,5.581,5.5801,5.5805,450.54
2018-10-16 04:24:00,5.5806,5.5806,5.5796,5.5804,672.25083637
2018-10-16 04:23:00,5.5795,5.5839,5.5795,5.5809,317.79013875
2018-10-16 04:22:00,5.5826,5.5839,5.5826,5.5839,2391.38739053
2018-10-16 04:21:00,5.5727,5.5727,5.5727,5.5727,2.0
2018-10-16 04:20:00,5.5734,5.5734,5.5734,5.5734,107.9999
2018-10-16 04:19:00,5.5801,5.583,5.5735,5.5735,2334.85268142
2018-10-16 04:18:00,5.5634,5.5806,5.5634,5.5717,3841.56360458
2018-10-16 04:17:00,5.5554,5.562,5.5554,5.562,2682.62184947
2018-10-16 04:16:00,5.55534968,5.5554,5.55534968,5.5554,847.7677992
2018-10-16 04:15:00,5.5501,5.5554,5.5372,5.5552,6850.6011604
2018-10-16 04:14:00,5.551,5.5525,5.55013839,5.55013839,57.94590305
2018-10-16 04:13:00,5.5618,5.5618,5.553,5.553,496.0
2018-10-16 04:12:00,5.5481,5.5543,5.5481,5.5534,1143.591441
2018-10-16 04:11:00,5.5498,5.5498,5.5451,5.5459,4326.92814649
2018-10-16 04:10:00,5.5575,5.5575,5.5527,5.5527,1830.21091757
2018-10-16 04:09:00,5.55755551,5.55755551,5.5575,5.5575,584.3487388
2018-10-16 04:08:00,5.5604,5.5604,5.5575,5.5575,1045.79477345
2018-10-16 04:07:00,5.56044934,5.56044934,5.56044934,5.56044934,2.0
2018-10-16 04:06:00,5.56044934,5.56044934,5.56044934,5.56044934,20.0
2018-10-16 04:05:00,5.5604,5.5618,5.5604,5.5605,1246.28951069
2018-10-16 04:04:00,5.5597,5.5604,5.5597,5.5604,1243.4708329
2018-10-16 04:03:00,5.5562,5.5597,5.5562,5.5595,1747.29640293
2018-10-16 04:02:00,5.5547,5.55599379,5.5547,5.55599379,8299.87523405
2018-10-16 04:01:00,5.5495,5.5554,5.5495,5.5538,1546.79720174
2018-10-16 04:00:00,5.5601,5.5607,5.5494,5.5495,6657.16353695
2018-10-16 03:59:00,5.5611,5.5623,5.561,5.5611,1350.49932776
2018-10-16 03:58:00,5.5612,5.5612,5.5612,5.5612,35.96
2018-10-16 03:57:00,5.5619,5.56703741,5.5619,5.564,564.817
2018-10-16 03:56:00,5.5662,5.5662,5.5662,5.5662,20.0
2018-10-16 03:55:00,5.565,5.5656,5.565,5.5656,372.0
2018-10-16 03:54:00,5.5663,5.5663,5.5645,5.5645,4.55815348
2018-10-16 03:53:00,5.5622,5.5683,5.5614,5.5683,1410.80172036
2018-10-16 03:51:00,5.5616,5.5655,5.5611,5.5655,2048.76359203
2018-10-16 03:50:00,5.562,5.5621,5.5618,5.562,186.13867
2018-10-16 03:49:00,5.5672,5.5672,5.562,5.562,873.56195887
2018-10-16 03:48:00,5.5708,5.5708,5.5706,5.5706,349.21386251
2018-10-16 03:47:00,5.5707,5.5707,5.5707,5.5707,452.79113749
2018-10-16 03:46:00,5.5733,5.5733,5.5732,5.5732,122.86869061
2018-10-16 03:44:00,5.5733,5.5747,5.5733,5.5747,600.0
2018-10-16 03:43:00,5.5733,5.5733,5.5733,5.5733,15.95955207
2018-10-16 03:42:00,5.5757,5.5757,5.5733,5.5733,735.26200431
2018-10-16 03:41:00,5.5758,5.5759,5.5757,5.5757,607.44
2018-10-16 03:40:00,5.5809,5.5809,5.5809,5.5809,10.0
2018-10-16 03:39:00,5.5757,5.5757,5.5757,5.5757,34.341
2018-10-16 03:38:00,5.5835,5.5835,5.5804,5.5804,506.25007475
2018-10-16 03:37:00,5.5871,5.5904,5.5759,5.588,8575.86462397
2018-10-16 03:36:00,5.5926,5.5926,5.5871,5.5871,495.43263802
2018-10-16 03:35:00,5.5936,5.5936,5.5926,5.5926,32.0
2018-10-16 03:34:00,5.5917,5.5917,5.5917,5.5917,13.6762
2018-10-16 03:33:00,5.5989,5.6019,5.5954,5.5954,625.14670436
2018-10-16 03:32:00,5.5976,5.5989,5.5976,5.5989,207.11197567
2018-10-16 03:31:00,5.5966,5.5981,5.5966,5.5975,1437.35843107
2018-10-16 03:30:00,5.5954,5.5993,5.5954,5.5965,2483.08572065
2018-10-16 03:29:00,5.5941,5.5941,5.594,5.594,35.77401254
2018-10-16 03:28:00,5.5926,5.5926,5.5926,5.5926,96.23275413
2018-10-16 03:27:00,5.5908,5.599,5.5908,5.5932,5157.0
2018-10-16 03:26:00,5.5878,5.5905,5.5847,5.5905,607.30520033
2018-10-16 03:25:00,5.5803,5.5803,5.5802,5.5802,25.39442375
2018-10-16 03:24:00,5.58,5.5865,5.5789,5.5858,743.0
2018-10-16 03:23:00,5.5764,5.58039943,5.5721,5.5799,869.07409034
2018-10-16 03:22:00,5.5751,5.5767,5.5692,5.5712,2994.23133353
2018-10-16 03:21:00,5.5752,5.5797,5.5721,5.578,2292.4020176
2018-10-15 13:09:00,5.1944,5.2057,5.1944,5.205,14553.68265678
2018-10-15 13:08:00,5.192,5.1923,5.192,5.1923,515.751
2018-10-15 13:03:00,5.193,5.193,5.193,5.193,50.0
2018-10-15 13:02:00,5.192,5.192,5.192,5.192,608.19117134
2018-10-15 13:01:00,5.192,5.1944,5.192,5.1944,977.70825185
2018-10-15 13:00:00,5.192,5.192,5.1919,5.1919,368.22429266
2018-10-15 12:59:00,5.1921,5.1921,5.1921,5.1921,352.15423962
2018-10-15 12:58:00,5.192,5.192,5.192,5.192,28.79740898
2018-10-15 12:56:00,5.1921,5.1921,5.1921,5.1921,7.69024285
2018-10-15 12:53:00,5.1923,5.1923,5.1923,5.1923,3.0
2018-10-15 12:52:00,5.194,5.194,5.194,5.194,100.0
2018-10-15 12:51:00,5.19207349,5.1998,5.19207349,5.1998,13000.96018631
2018-10-15 12:50:00,5.1921,5.1921,5.1921,5.1921,100.0
2018-10-15 12:48:00,5.1919,5.1919,5.1919,5.1919,100.0
2018-10-15 12:46:00,5.1914,5.1984,5.1914,5.1984,13000.0
2018-10-15 12:45:00,5.1932,5.1932,5.1932,5.1932,499.99
2018-10-15 12:44:00,5.1933,5.1933,5.1933,5.1933,1200.0
2018-10-15 12:41:00,5.1944,5.1944,5.1933,5.1933,585.83176402
2018-10-15 12:40:00,5.1946,5.1946,5.1943,5.1943,647.24633201
2018-10-15 12:39:00,5.1947,5.1947,5.1947,5.1947,10.0
2018-10-15 12:38:00,5.1947,5.1947,5.1947,5.1947,50.0
2018-10-15 12:36:00,5.1946,5.1946,5.1946,5.1946,170.0
2018-10-15 12:34:00,5.1958,5.1958,5.1949,5.1949,200.0
2018-10-15 12:33:00,5.1958,5.1958,5.1958,5.1958,807.72928284
2018-10-15 12:30:00,5.1956,5.196,5.1956,5.196,228.34707583
2018-10-15 12:29:00,5.1958,5.1958,5.1957,5.1957,192.28365712
2018-10-15 12:25:00,5.1969,5.1969,5.1969,5.1969,1.0
2018-10-15 12:24:00,5.2028,5.2038,5.1914,5.1914,1391.78444659
2018-10-15 12:23:00,5.2,5.2015,5.2,5.2015,165.19358819
2018-10-15 12:22:00,5.1999,5.1999,5.1999,5.1999,7.9999
2018-10-15 12:21:00,5.1996,5.1996,5.1996,5.1996,7.9999
2018-10-15 12:20:00,5.1987,5.1998,5.1987,5.1998,835.99620754
2018-10-15 12:19:00,5.1932,5.1987,5.1932,5.1987,1799.489
2018-10-15 12:15:00,5.1927,5.1931,5.1927,5.1931,5.0
2018-10-15 12:13:00,5.1898,5.1904,5.1898,5.1904,139.9999
2018-10-15 12:12:00,5.1886,5.1894,5.1886,5.1894,1102.0
2018-10-15 12:11:00,5.1891,5.1891,5.1891,5.1891,104.385
2018-10-15 12:10:00,5.1886,5.1888,5.1886,5.1888,100.0
