,收益
"[80, 3.5],10T,",3.522658874629605
"[80, 4],10T,",3.384342505822035
"[50, 3.5],15T,",3.30278458675745
"[30, 3.5],30T,",3.277885753937441
"[150, 3],5T,",3.1466478402792415
"[50, 3],10T,",3.1078048561769833
"[30, 3],30T,",3.1033745133944515
"[160, 3.5],5T,",3.064531801391788
"[30, 3.5],25T,",3.0491285268468618
"[110, 3.5],5T,",3.0083698478156724
"[30, 4],25T,",3.0024464039818506
"[150, 3.5],5T,",2.9986735844897607
"[100, 3.5],5T,",2.9262901977685583
"[30, 4],30T,",2.921453072420337
"[50, 4],15T,",2.8765954296123417
"[40, 4],15T,",2.867441817176851
"[100, 2.5],5T,",2.8401103903467657
"[90, 3],5T,",2.7780921014807554
"[70, 4],10T,",2.7407903372467013
"[50, 2.5],10T,",2.675890614192711
"[40, 3],25T,",2.644704064375277
"[80, 4],5T,",2.638734483320727
"[20, 3.5],30T,",2.629113492848057
"[30, 4],20T,",2.5964723216172825
"[70, 3.5],10T,",2.593057072009407
"[40, 3],15T,",2.5794013303394703
"[150, 4],5T,",2.5771412022092504
"[40, 3.5],20T,",2.5548957825545213
"[20, 2],30T,",2.517352326545853
"[120, 4],5T,",2.5037835910927977
"[130, 4],5T,",2.494296906189329
"[140, 4],5T,",2.4848492842513754
"[100, 3],5T,",2.473055738508395
"[110, 2.5],5T,",2.446446514564813
"[60, 3],10T,",2.444240781694977
"[110, 4],5T,",2.442435421776946
"[160, 4],5T,",2.4289881389780645
"[40, 3.5],10T,",2.4262751011307877
"[140, 3.5],5T,",2.3662189243110796
"[70, 2.5],10T,",2.3347143506299015
"[20, 3],30T,",2.333063371263159
"[130, 3.5],5T,",2.330310332466526
"[50, 3.5],10T,",2.302649924214202
"[110, 3],5T,",2.2884019494552574
"[120, 3.5],5T,",2.2734609456599215
"[20, 2.5],30T,",2.2620507863880386
"[170, 3.5],5T,",2.2152216855073954
"[80, 3],10T,",2.2121792200292627
"[120, 2.5],5T,",2.144136382621423
"[130, 2.5],5T,",2.1428524480885947
"[130, 3],5T,",2.1077756842306488
"[90, 3.5],5T,",2.103385318002418
"[120, 3],5T,",2.0992543091290212
"[50, 4],10T,",2.094069531307078
"[40, 3.5],15T,",2.0620919022839224
"[170, 3],5T,",2.0504831285785
"[40, 4],20T,",1.9929427886495739
"[100, 4],5T,",1.991897726112509
"[80, 3.5],5T,",1.9766160812481344
"[30, 3.5],15T,",1.9616531461324527
"[30, 3],20T,",1.922110604118518
"[40, 4],10T,",1.8762484737154947
"[60, 2.5],10T,",1.8715529537799682
"[20, 3.5],25T,",1.8491009431931038
"[60, 4],10T,",1.8413687751234649
"[40, 2.5],15T,",1.8351114994270907
"[40, 4],25T,",1.8290498202774372
"[60, 3.5],10T,",1.8173881200265147
"[90, 2.5],5T,",1.8152395312296603
"[70, 3],10T,",1.8014296413576438
"[80, 3],5T,",1.7932980681449633
"[20, 4],25T,",1.7831801669691936
"[100, 2],5T,",1.775072905531108
"[180, 3.5],5T,",1.773260107089551
"[170, 4],5T,",1.765937051674831
"[30, 2.5],30T,",1.756014295730457
"[50, 4],25T,",1.7541502171599812
"[20, 3],25T,",1.7375619802468738
"[140, 2.5],5T,",1.7282506041445551
"[40, 3],10T,",1.7137682987627203
"[30, 3],25T,",1.6927196549791605
"[170, 2.5],5T,",1.6874920348716627
"[90, 4],5T,",1.6787809911090568
"[140, 3],5T,",1.6520501043341094
"[110, 2],5T,",1.6439047567934597
"[70, 4],5T,",1.6399664524006903
"[160, 3],5T,",1.6369588358295408
"[50, 2.5],15T,",1.6300016078351802
"[60, 3],15T,",1.6126860631198643
"[60, 3.5],5T,",1.5864475581435422
"[90, 3],10T,",1.576011702945082
"[30, 3],10T,",1.5688009313029478
"[50, 2],10T,",1.5568121649999487
"[50, 3],15T,",1.5339997983563074
"[50, 2],15T,",1.5291525685992802
"[80, 2.5],10T,",1.502243846067513
"[130, 2],5T,",1.4872032704520324
"[150, 2.5],5T,",1.4718455831374624
"[20, 4],30T,",1.4528532716468303
"[60, 4],5T,",1.4432685317581486
"[190, 3.5],5T,",1.4295580746581151
"[70, 3],15T,",1.4209753166851964
"[80, 2.5],5T,",1.4183504982491235
"[50, 4],20T,",1.4124257846626551
"[140, 2],5T,",1.4091049925134451
"[30, 3],15T,",1.3937300825797574
"[70, 2],10T,",1.3935298802309044
"[20, 3.5],20T,",1.3882405014385895
"[60, 2.5],15T,",1.3854787169402467
"[50, 4],5T,",1.3640093740510042
"[90, 3.5],10T,",1.354527077165066
"[160, 2.5],5T,",1.352043785886929
"[70, 2.5],5T,",1.3506235909234636
"[150, 2],5T,",1.3473377178165182
"[30, 2.5],20T,",1.342484314826977
"[30, 3.5],20T,",1.3405490150997066
"[60, 3.5],15T,",1.3380674574996487
"[50, 3.5],5T,",1.3361727841714237
"[60, 3],5T,",1.323196483200333
"[300, 3.5],5T,",1.3101897796356294
"[310, 3.5],5T,",1.3101897796356294
"[150, 3.5],10T,",1.3010783869949882
"[160, 3.5],10T,",1.3010783869949882
"[70, 3],5T,",1.297792620722788
"[320, 3.5],5T,",1.2972911400643767
"[100, 3.5],10T,",1.287732545973637
"[90, 3],20T,",1.2871918339582518
"[90, 3.5],20T,",1.2871918339582518
"[70, 3.5],25T,",1.283042268217773
"[80, 3.5],20T,",1.283042268217772
